"","1"
"(Intercept)",0.190901167947143
"V1",0.00120803285931841
"V2",0
"V3",0.00058225453378607
"V4",0
"V5",0.000258545712653589
"V6",0
"V7",0
"V8",9.19289920561804e-06
"V9",0
"V10",0
"V11",0
"V12",0
"V13",0
"V14",0
"V15",0
"V16",0
"V17",0
"V18",0
"V19",-0.000192465438980462
"V20",0
"V21",0
"V22",0
"V23",0.00104236596231251
"V24",0
"V25",0
"V26",0
"V27",0
"V28",0
"V29",0
"V30",0
"V31",0
"V32",0
"V33",0.00114921423969581
"V34",0
"V35",0
"V36",0
"V37",0
"V38",0
"V39",-0.00289790055984062
"V40",0.000407283254493953
"V41",0
"V42",0
"V43",-0.000529897534401865
"V44",-0.00148364996241562
"V45",0
"V46",0
"V47",0
"V48",0
"V49",0
"V50",0.000728613079957218
"V51",0.000365137603837907
"V52",0
"V53",0.000621689727815631
"V54",0
"V55",0
"V56",0
"V57",0
"V58",0
"V59",0
"V60",0
"V61",0
"V62",0
"V63",0
"V64",0
"V65",0
"V66",0
"V67",0
"V68",0
"V69",0
"V70",4.52822972660888e-05
"V71",0
"V72",0
"V73",0
"V74",0
"V75",0
"V76",0
"V77",0
"V78",0
"V79",0.000951805673404535
"V80",0
"V81",0
"V82",0
"V83",-0.00086931852665923
"V84",0
"V85",0
"V86",0
"V87",0
"V88",0
"V89",0.000710464275077601
"V90",-0.000604371670916612
"V91",0
"V92",0
"V93",-0.000891069981220765
"V94",0
"V95",-0.00541913023941572
"V96",0
"V97",0
"V98",-0.000669900936252214
"V99",0
"V100",0
"V101",-0.0014572058529854
"V102",0
"V103",0
"V104",0
"V105",0
"V106",0
"V107",0
"V108",0
"V109",0
"V110",0
"V111",0
"V112",0.000242002391822504
"V113",0
"V114",0
"V115",0
"V116",0
"V117",0
"V118",0
"V119",0
"V120",0
"V121",0
"V122",0
"V123",0
"V124",0
"V125",0
"V126",0
"V127",0
"V128",0
"V129",-0.000249253778387265
"V130",-0.00106459005329778
"V131",0
"V132",0
"V133",0
"V134",0
"V135",0
"V136",-0.000470127647761147
"V137",0
"V138",0
"V139",0
"V140",0
"V141",0.00143016473741429
"V142",0
"V143",0
"V144",0.000307185533556984
"V145",0
"V146",0
"V147",0
"V148",0
"V149",0
"V150",-0.00101298850877316
"V151",0.000216622824095461
"V152",0
"V153",0
"V154",0
"V155",0
"V156",0
"V157",0
"V158",0
"V159",0
"V160",0
"V161",0
"V162",0
"V163",0
"V164",0
"V165",0
"V166",0
"V167",0
"V168",0
"V169",0
"V170",0
"V171",0
"V172",0
"V173",0
"V174",0
"V175",0
"V176",0
"V177",0
"V178",0
"V179",0
"V180",0
"V181",0
"V182",0
"V183",0
"V184",0
"V185",0.00160325013757478
"V186",0
"V187",0.0026907221779283
"V188",0
"V189",0.000402087351269285
"V190",0
"V191",0
"V192",-0.00413686599362904
"V193",0.000399092497468624
"V194",0.00119986972308382
"V195",0
"V196",0
"V197",0
"V198",0
"V199",0
"V200",0
"V201",0
"V202",0
"V203",0
"V204",0
"V205",-0.000678854608728608
"V206",-0.00194871919524604
"V207",0
"V208",0
"V209",-0.000758409148044917
"V210",8.00738808340532e-05
"V211",5.40455623741806e-05
"V212",0
"V213",0
"V214",0
"V215",0
"V216",0
"V217",0
"V218",0.000112709697846212
"V219",0
"V220",-0.000149721059930519
"V221",-1.41393881093147e-05
"V222",0
"V223",0.0013158808645786
"V224",0
"V225",-0.00149942181118875
"V226",0
"V227",0.000577736747359217
"V228",0
"V229",-0.000416942525149569
"V230",0
"V231",0
"V232",0
"V233",-0.000127752603569078
"V234",0
"V235",0
"V236",-0.000694060478965901
"V237",0
"V238",0
"V239",0
"V240",0
"V241",0
"V242",0
"V243",0
"V244",0
"V245",-0.000488611518115326
"V246",0
"V247",0
"V248",0
"V249",0
"V250",0
"V251",0
"V252",0
"V253",0.00108590364628747
"V254",0.000525334814756169
"V255",0
"V256",0
"V257",0.00170689717246336
"V258",0
"V259",0.000271150055210103
"V260",0
"V261",0.000546665241194837
"V262",0
"V263",0
"V264",0
"V265",0
"V266",0.000406274220317511
"V267",0
"V268",-0.00100631616214037
"V269",0
"V270",0
"V271",0
"V272",0
"V273",0
"V274",-1.02167788608292e-05
"V275",0
"V276",0
"V277",0
"V278",0
"V279",0
"V280",0
"V281",0
"V282",0.00102949244579435
"V283",0
"V284",0
"V285",0
"V286",0
"V287",0
"V288",0
"V289",0
"V290",2.10873894153724e-05
"V291",0
"V292",0
"V293",0
"V294",0
"V295",0.000639215085807989
"V296",0
"V297",0
"V298",0
"V299",0
"V300",0
"V301",0
"V302",0
"V303",0
"V304",-0.000252975165720881
"V305",0
"V306",0
"V307",0
"V308",0
"V309",0
"V310",0
"V311",0
"V312",0
"V313",-0.000516772517966267
"V314",0
"V315",0.000561855290189343
"V316",0.000423777120437362
"V317",0
"V318",0.000765628173412909
"V319",0
"V320",0
"V321",0
"V322",-6.74395404378705e-06
"V323",0.000406057494597965
"V324",0
"V325",0
"V326",0
"V327",0
"V328",0
"V329",0
"V330",0
"V331",0
"V332",-0.000842062460060725
"V333",0
"V334",0
"V335",0
"V336",-0.000664101860654539
"V337",0
"V338",0
"V339",0
"V340",0
"V341",0
"V342",0.00174527443322593
"V343",0
"V344",0
"V345",0
"V346",0
"V347",0
"V348",0
"V349",0
"V350",-0.00144158946538434
"V351",0
"V352",2.4993604258856e-05
"V353",0
"V354",0
"V355",0.00130108291816293
"V356",0
"V357",-0.00106490467485355
"V358",0
"V359",0
"V360",-0.00119402170695293
"V361",0
"V362",0
"V363",-0.00231777234512909
"V364",0
"V365",0.00114308826064374
"V366",0
"V367",0
"V368",-0.000140159511974549
"V369",0
"V370",0
"V371",0
"V372",0
"V373",0.000636296375845377
"V374",0
"V375",0
"V376",0
"V377",0
"V378",0
"V379",0
"V380",0
"V381",0
"V382",0
"V383",-0.000533497607908208
"V384",-0.000380348120622974
"V385",-0.00139507934560802
"V386",0
"V387",-9.60028981887644e-05
"V388",-0.00120371978381598
"V389",7.93011721577476e-05
"V390",0
"V391",0
"V392",0
"V393",0
"V394",0
"V395",-0.000672995906994158
"V396",0.000234287491361865
"V397",0
"V398",-0.00100714369444369
"V399",-0.00323126660253877
"V400",0
"V401",0
"V402",0.000163334921317578
"V403",0
"V404",0
"V405",0
"V406",0
"V407",-0.000777402286312199
"V408",-0.000220512295400732
"V409",0
"V410",0
"V411",0
"V412",0
"V413",0
"V414",0.00103664240188246
"V415",-0.000860581493241073
"V416",0
"V417",0
"V418",0
"V419",0
"V420",0
"V421",0
"V422",0
"V423",0
"V424",0
"V425",0
"V426",0.000331179583004624
"V427",0
"V428",0
"V429",0
"V430",0
"V431",0
"V432",0
"V433",0
"V434",0
"V435",0
"V436",0
"V437",0
"V438",0
"V439",0
"V440",-0.0009619212341846
"V441",0.00107501034309067
"V442",0
"V443",0.000324368829339653
"V444",0
"V445",0
"V446",0
"V447",-0.000375721184379354
"V448",0
"V449",0
"V450",0
"V451",0
"V452",0
"V453",0.000805727574603428
"V454",0
"V455",0
"V456",0
"V457",0
"V458",-8.75777514873022e-05
"V459",0
"V460",0
"V461",0
"V462",0
"V463",0
"V464",0
"V465",0.000541245546651088
"V466",0
"V467",-0.000338588086670249
"V468",0
"V469",0
"V470",0
"V471",0
"V472",0
"V473",0.000486728496711796
"V474",0
"V475",0
"V476",0.000628376236026243
"V477",0
"V478",0
"V479",0
"V480",0
"V481",0
"V482",0
"V483",-0.000239789020325088
"V484",0
"V485",0
"V486",-0.000846143578289147
"V487",0
"V488",0
"V489",0
"V490",0
"V491",-0.000867682577054827
"V492",0
"V493",-0.000838531708394461
"V494",0
"V495",0
"V496",-0.000826043294383989
"V497",0.000310192353174755
"V498",0
"V499",-0.00284127653666775
"V500",0.00133928901561475
"V501",0
"V502",0
"V503",0
"V504",0
"V505",0
"V506",0
"V507",0
"V508",0
"V509",-0.00104669514533348
"V510",0
"V511",0
"V512",0
"V513",0.000300215487421343
"V514",0
"V515",0
"V516",0
"V517",-0.00420790969176218
"V518",-0.000770890743299364
"V519",0
"V520",0.000696278514850809
"V521",0
"V522",-0.00146213171655399
"V523",0
"V524",0
"V525",0
"V526",0
"V527",0.00209975480890784
"V528",0
"V529",0.000921754017889727
"V530",0
"V531",0
"V532",-0.000849871245037239
"V533",0
"V534",0
"V535",0
"V536",0
"V537",-0.000154621563477619
"V538",0
"V539",-0.00119949572088606
"V540",0
"V541",0
"V542",-0.000612283250866512
"V543",-0.000113156017811115
"V544",-0.000958571522618154
"V545",-0.000590608292690827
"V546",0
"V547",0
"V548",0
"V549",0
"V550",0
"V551",0
"V552",0
"V553",0
"V554",0
"V555",0
"V556",-2.82994478189595e-06
"V557",0
"V558",0
"V559",0
"V560",0
"V561",-0.000374832514703808
"V562",0
"V563",0
"V564",0
"V565",0.000113873224600888
"V566",-0.000727124176375522
"V567",0
"V568",0
"V569",0
"V570",0
"V571",-0.00120889280113229
"V572",-0.00100761637010995
"V573",0
"V574",0
"V575",0
"V576",0
"V577",0
"V578",0
"V579",0
"V580",-0.00255726760043474
"V581",0
"V582",0
"V583",-0.000644184455740031
"V584",0
"V585",0
"V586",0
"V587",0.000827638251308681
"V588",0
"V589",0
"V590",0
"V591",0
"V592",0
"V593",0
"V594",0
"V595",0
"V596",-0.000164664953253609
"V597",0
"V598",0
"V599",0
"V600",0.00164028464661173
"V601",0
"V602",0
"V603",0
"V604",0
"V605",0
"V606",0
"V607",0.00183288125724113
"V608",0
"V609",0
"V610",0
"V611",0
"V612",0
"V613",0.000348113649572177
"V614",0
"V615",0.00110970325765093
"V616",0
"V617",0
"V618",0
"V619",0
"V620",0.000690100147214112
"V621",0
"V622",0
"V623",0
"V624",0
"V625",0
"V626",0
"V627",-0.00121762654532673
"V628",0
"V629",0.00166953143595449
"V630",0
"V631",0.000816732465397352
"V632",0.000787695737243032
"V633",0
"V634",0
"V635",0
"V636",0
"V637",0
"V638",0.00145926159429363
"V639",0
"V640",0
"V641",0
"V642",0
"V643",0
"V644",0
"V645",0
"V646",0
"V647",0
"V648",0
"V649",-0.000616784350407517
"V650",0
"V651",0
"V652",0
"V653",0
"V654",0
"V655",0
"V656",0
"V657",0
"V658",-0.000808936873514409
"V659",-0.00096709602653339
"V660",0
"V661",0
"V662",0
"V663",0
"V664",0
"V665",0
"V666",0.00071807466141807
"V667",0
"V668",0
"V669",0
"V670",0
"V671",0
"V672",0
"V673",0
"V674",0.00223256788630314
"V675",0
"V676",0.00030150146594315
"V677",0
"V678",0.000738977843390432
"V679",0
"V680",0
"V681",0
"V682",0
"V683",0
"V684",0
"V685",0
"V686",0.000302392074487758
"V687",0
"V688",0
"V689",0
"V690",0
"V691",0
"V692",-0.00031711859582333
"V693",0
"V694",0
"V695",0
"V696",0
"V697",0.000434430213632178
"V698",0
"V699",0
"V700",0
"V701",0
"V702",0
"V703",0
"V704",0
"V705",0
"V706",0
"V707",0.000980768031855546
"V708",0
"V709",0
"V710",0
"V711",0
"V712",0
"V713",0
"V714",0
"V715",0
"V716",0
"V717",0
"V718",0
"V719",0
"V720",0
"V721",0
"V722",0
"V723",-0.000505937965436458
"V724",0
"V725",0
"V726",0
"V727",0
"V728",0
"V729",-0.000210216435318573
"V730",0
"V731",0
"V732",0
"V733",0
"V734",0
"V735",-0.00111253038791736
"V736",-0.00119737294468566
"V737",0
"V738",0
"V739",0
"V740",0.000609807857973074
"V741",0
"V742",0
"V743",0
"V744",0
"V745",-0.000472942624235522
"V746",0
"V747",-0.00149130108257992
"V748",-0.000432859366174853
"V749",0
"V750",-0.000510016090390116
"V751",3.41381859014059e-05
"V752",0
"V753",0
"V754",0
"V755",0
"V756",0
"V757",0
"V758",-0.00085593102353232
"V759",0
"V760",0
"V761",0
"V762",0
"V763",0
"V764",0
"V765",0
"V766",0
"V767",0.00110675160456698
"V768",0
"V769",0.00020112353497372
"V770",-0.000839862074784742
"V771",0
"V772",0
"V773",0
"V774",0
"V775",0
"V776",0
"V777",0
"V778",0
"V779",0
"V780",-0.00093244313009604
"V781",-0.0010295122436027
"V782",0
"V783",0
"V784",0
"V785",0
"V786",0
"V787",0
"V788",0
"V789",0.000898915045000723
"V790",0
"V791",0
"V792",-0.000940423842695676
"V793",0.00124634482976778
"V794",0
"V795",0
"V796",0
"V797",-0.000492664230517703
"V798",0
"V799",0
"V800",0
"V801",0
"V802",0
"V803",-0.00154839550137979
"V804",0
"V805",0
"V806",-0.000771477464581172
"V807",0
"V808",0.000397312813985282
"V809",-0.000942968762975406
"V810",0
"V811",0
"V812",0
"V813",-0.000152148027278848
"V814",0
"V815",0
"V816",0
"V817",0.000361143382082117
"V818",-0.000984779561079506
"V819",-7.43163545149427e-05
"V820",0
"V821",0
"V822",0
"V823",0.000359486101935409
"V824",0
"V825",0
"V826",0
"V827",-6.85653449160266e-05
"V828",0
"V829",0
"V830",0
"V831",0
"V832",0
"V833",0
"V834",0
"V835",0
"V836",0
"V837",-0.000685352841130804
"V838",0.00169033514055642
"V839",0
"V840",0
"V841",0
"V842",0
"V843",0
"V844",0
"V845",0
"V846",0
"V847",0.0014790889133708
"V848",0
"V849",0
"V850",0.000126758000103773
"V851",-0.000151534525715649
"V852",-0.0011522929081228
"V853",0
"V854",0.000305142013577036
"V855",0
"V856",0
"V857",0
"V858",0
"V859",0
"V860",0
"V861",0
"V862",0
"V863",0.00126673831214056
"V864",0
"V865",0
"V866",0
"V867",0
"V868",0
"V869",0
"V870",0
"V871",0
"V872",0
"V873",0
"V874",0.000174452367446542
"V875",0.00228885940674914
"V876",0
"V877",0
"V878",-0.000681986206812101
"V879",0
"V880",0
"V881",-0.00159216527502147
"V882",0
"V883",0
"V884",0
"V885",0
"V886",0
"V887",0
"V888",0
"V889",0
"V890",-0.000711410120061039
"V891",0
"V892",0
"V893",0
"V894",0
"V895",0
"V896",0
"V897",0
"V898",0
"V899",-0.000375431484836601
"V900",0
"V901",0
"V902",0
"V903",0
"V904",-5.56279590461864e-05
"V905",0
"V906",-0.000297567354242044
"V907",0
"V908",0
"V909",0
"V910",0.000863533404304551
"V911",-0.000214392029083765
"V912",0
"V913",0
"V914",0
"V915",0
"V916",0
"V917",0
"V918",0
"V919",-0.000660452609134345
"V920",-0.00290386989696229
"V921",0
"V922",0
"V923",0
"V924",0
"V925",0
"V926",0
"V927",0.000202040793903911
"V928",0
"V929",0
"V930",0
"V931",0
"V932",0
"V933",0
"V934",0
"V935",0.000248997767504447
"V936",0
"V937",-0.0017854860077688
"V938",-0.000305206442257189
"V939",0
"V940",0
"V941",0.00244603892006835
"V942",-0.000442890230348054
"V943",0
"V944",-0.00137453941006369
"V945",0
"V946",0
"V947",0
"V948",0
"V949",0
"V950",0
"V951",0
"V952",0
"V953",0
"V954",0
"V955",0
"V956",-0.00103345646356604
"V957",0.000159949929579748
"V958",0
"V959",0
"V960",0
"V961",0
"V962",0
"V963",0
"V964",0
"V965",0
"V966",0
"V967",0
"V968",0
"V969",0
"V970",0.000204529226925213
"V971",0
"V972",-0.0033247209839973
"V973",0
"V974",0
"V975",0.000390767543275134
"V976",0
"V977",-0.00123280909977345
"V978",-0.000244137060153466
"V979",0
"V980",0
"V981",-6.55351634621327e-05
"V982",0
"V983",0
"V984",0
"V985",0
"V986",-0.00111991656442379
"V987",0
"V988",0
"V989",0
"V990",-0.000818325261858901
"V991",0
"V992",-0.000290397067479266
"V993",-0.000493220259566876
"V994",0
"V995",0
"V996",0
"V997",0
"V998",0
"V999",0
"V1000",0
"V1001",0
"V1002",0
"V1003",0.00139825683625373
"V1004",0
"V1005",0
"V1006",0
"V1007",0
"V1008",-0.000863857043062974
"V1009",0
"V1010",0
"V1011",0
"V1012",0.00143466686470591
"V1013",-3.37220324071966e-05
"V1014",-0.000294829416507031
"V1015",0
"V1016",0
"V1017",-0.000394187428236476
"V1018",0
"V1019",-0.00353992496190611
"V1020",0.00144254663419762
"V1021",0
"V1022",-0.00036053620491097
"V1023",-0.000517191189686267
"V1024",0
"V1025",0
"V1026",0.000260274132999061
"V1027",0.00109653900380495
"V1028",0
"V1029",0
"V1030",0
"V1031",-0.000702411069854007
"V1032",0
"V1033",0
"V1034",-0.000897940690304748
"V1035",-0.00104451525133296
"V1036",0
"V1037",0
"V1038",0
"V1039",-0.00092504971430849
"V1040",0.000502902462016703
"V1041",0
"V1042",0
"V1043",-0.00127518275253117
"V1044",0
"V1045",0
"V1046",0
"V1047",0
"V1048",0
"V1049",0
"V1050",0
"V1051",0
"V1052",0
"V1053",0
"V1054",0
"V1055",0
"V1056",0
"V1057",0
"V1058",0
"V1059",0
"V1060",-0.000777912443705987
"V1061",0
"V1062",-0.00157335784667949
"V1063",0
"V1064",-0.00050078379851143
"V1065",0
"V1066",-0.000801502514509465
"V1067",0
"V1068",0
"V1069",0
"V1070",0
"V1071",0
"V1072",0
"V1073",0
"V1074",0
"V1075",0
"V1076",0
"V1077",0
"V1078",0
"V1079",0
"V1080",-6.53702818410334e-05
"V1081",0
"V1082",0
"V1083",0
"V1084",0
"V1085",0
"V1086",-0.00158429285927096
"V1087",-0.00142350832158209
"V1088",0.00119675659547634
"V1089",-0.000823661095831307
"V1090",0.00113355565390711
"V1091",0
"V1092",-0.00164610158685904
"V1093",0
"V1094",0
"V1095",0.000598134134611799
"V1096",0
"V1097",0
"V1098",0
"V1099",0
"V1100",0
"V1101",0
"V1102",0.00187104483768098
"V1103",0
"V1104",0
"V1105",0
"V1106",0.000696632831729419
"V1107",0
"V1108",0
"V1109",0
"V1110",0
"V1111",0
"V1112",0
"V1113",0
"V1114",0
"V1115",0
"V1116",0
"V1117",0
"V1118",0
"V1119",0
"V1120",0
"V1121",0
"V1122",0
"V1123",0
"V1124",0
"V1125",0
"V1126",0
"V1127",0
"V1128",-0.000531628328739534
"V1129",0
"V1130",0
"V1131",0.000897051150325119
"V1132",0
"V1133",0
"V1134",0
"V1135",0
"V1136",0
"V1137",-5.91419751922898e-05
"V1138",0
"V1139",0
"V1140",0.000378630326399202
"V1141",0
"V1142",0
"V1143",0.0010731176215185
"V1144",0
"V1145",-0.000446172928256551
"V1146",0
"V1147",-0.00138879584875183
"V1148",0
"V1149",0.000248463384219593
"V1150",0
"V1151",0
"V1152",0
"V1153",0
"V1154",0.00164880421385847
"V1155",0
"V1156",0
"V1157",0
"V1158",0
"V1159",0
"V1160",0
"V1161",0
"V1162",0
"V1163",0
"V1164",0
"V1165",0
"V1166",0
"V1167",0
"V1168",0
"V1169",-0.000700838019320969
"V1170",0
"V1171",0
"V1172",0
"V1173",0
"V1174",0
"V1175",0
"V1176",0
"V1177",0
"V1178",0
"V1179",0
"V1180",0
"V1181",0
"V1182",0.00021207490178618
"V1183",0
"V1184",0.00118280251000259
"V1185",0
"V1186",0.000335377269608761
"V1187",0
"V1188",0
"V1189",0
"V1190",0
"V1191",-0.00128971528411383
"V1192",-0.000733343900473435
"V1193",0
"V1194",0
"V1195",0
"V1196",0
"V1197",0
"V1198",0
"V1199",0
"V1200",0.00106567971603294
"V1201",0
"V1202",-0.0017746457533969
"V1203",0
"V1204",0
"V1205",0
"V1206",0
"V1207",0
"V1208",-0.00137222337372757
"V1209",-0.000194103896451239
"V1210",0
"V1211",0
"V1212",0
"V1213",0
"V1214",0
"V1215",0
"V1216",0
"V1217",0
"V1218",-0.000244864637843729
"V1219",0
"V1220",0
"V1221",0
"V1222",0
"V1223",0
"V1224",0
"V1225",0
"V1226",0
"V1227",0
"V1228",-0.0010800378032386
"V1229",0
"V1230",0
"V1231",0
"V1232",0
"V1233",0
"V1234",0
"V1235",0
"V1236",0
"V1237",0
"V1238",0.000723004556849944
"V1239",0
"V1240",0
"V1241",0
"V1242",0
"V1243",-6.53703754891484e-05
"V1244",0
"V1245",0
"V1246",0.000474275507049948
"V1247",0
"V1248",0.001094896141592
"V1249",-0.000838156834265853
"V1250",0
"V1251",0.000296666069961341
"V1252",0.00199399424895956
"V1253",0
"V1254",0
"V1255",-0.000698004744771534
